Unet_run1,filename_run1,Unet_run2,filename_run2,Unet_run3,filename_run3,Unet_run4,filename_run4,Unet_run5,filename_run5
0.6363636,32.png,0.73913044,48.png,0.90909094,6.png,0.47058824,34.png,0.2857143,61.png
0.87150836,40.png,0.73913044,37.png,0.86885244,69.png,0.6666667,58.png,0.8651163,50.png
0.7058824,36.png,0.90052354,46.png,0.4,27.png,0.8818182,60.png,0.89542484,14.png
0.7878788,54.png,0.8982036,4.png,0.74846625,15.png,0.91525424,40.png,0.8181818,34.png
0.92827004,28.png,0.7692308,36.png,0.8968254,5.png,0.5625,22.png,0.7058824,18.png
0.9483568,27.png,0.8,63.png,0.8847926,46.png,0.88389516,29.png,0.8339768,28.png
0.9122807,55.png,0.8333333,23.png,0.8695652,52.png,0.8606061,59.png,0.7763158,33.png
0.6666667,37.png,0.90836656,9.png,0.73913044,38.png,0.83870965,42.png,0.7826087,16.png
0.25,50.png,0.8888889,39.png,0.53333336,20.png,0.88122606,62.png,0.8125,19.png
0.9186992,49.png,0.5565217,42.png,0.8,54.png,0.5882353,9.png,0.89,46.png
0.88297874,66.png,0.86287624,6.png,0.8854962,44.png,0.8301887,38.png,0.6666667,59.png
0.53333336,44.png,0.8778626,18.png,0.90434784,66.png,0.25,8.png,0.46153846,3.png
0.6666667,3.png,0.8863636,45.png,0.8947368,36.png,0.5714286,41.png,0.8938053,29.png
0.8917749,62.png,0.9298246,69.png,0.92720306,21.png,0.22222222,13.png,0.9059829,41.png
0.47058824,68.png,0.7096774,21.png,0.6315789,30.png,0.72,15.png,0.82733816,54.png
